column_name,data_type,total_count,non_null_count,null_count,null_rate,unique_count,distinct_rate,min,max,mean,std,median,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_rate,zscore_outlier_count
VendorID,int32,3724889,3724889,0,0.00%,4,0.00%,1.0,7.0,1.8735983810524286,0.7014583431745254,2.0,2.0,2.0,0.0,2.0,2.0,759147.0,20.38%,48722.0
tpep_pickup_datetime,datetime64[us],3724889,3724889,0,0.00%,1757191,47.17%,,,,,,,,,,,,,
tpep_dropoff_datetime,datetime64[us],3724889,3724889,0,0.00%,1755995,47.14%,,,,,,,,,,,,,
passenger_count,float64,3724889,2636831,1088058,29.21%,10,0.00%,0.0,9.0,1.256271258946819,0.6702431378098715,1.0,1.0,1.0,0.0,1.0,1.0,485837.0,13.04%,63816.0
trip_distance,float64,3724889,3724889,0,0.00%,4777,0.13%,0.0,269097.48,6.455646860886324,648.8855284529147,1.81,1.0,3.73,2.73,-3.0949999999999998,7.824999999999999,421950.0,11.33%,111.0
RatecodeID,float64,3724889,2636831,1088058,29.21%,7,0.00%,1.0,99.0,5.2188532370864875,19.653698843856645,1.0,1.0,1.0,0.0,1.0,1.0,246336.0,6.61%,110864.0
store_and_fwd_flag,str,3724889,2636831,1088058,29.21%,2,0.00%,,,,,,,,,,,,,
PULocationID,int32,3724889,3724889,0,0.00%,262,0.01%,1.0,265.0,161.43719047735382,67.06657383468635,161.0,114.0,233.0,119.0,-64.5,411.5,0.0,0.00%,0.0
DOLocationID,int32,3724889,3724889,0,0.00%,260,0.01%,1.0,265.0,160.9935700097372,71.03604036656468,162.0,107.0,234.0,127.0,-83.5,424.5,0.0,0.00%,0.0
payment_type,int64,3724889,3724889,0,0.00%,5,0.00%,0.0,4.0,0.8465637499533543,0.7120492979865704,1.0,0.0,1.0,1.0,-1.5,2.5,73041.0,1.96%,73041.0
fare_amount,float64,3724889,3724889,0,0.00%,12867,0.35%,-2555.2,2555.2,20.804253893203256,18.92700702127463,15.6,10.0,26.1,16.1,-14.150000000000002,50.25,266087.0,7.14%,51219.0
extra,float64,3724889,3724889,0,0.00%,45,0.00%,-7.5,17.46,1.0230548346541333,1.7073216021106774,0.0,0.0,2.5,2.5,-3.75,6.25,38690.0,1.04%,38690.0
mta_tax,float64,3724889,3724889,0,0.00%,6,0.00%,-0.5,4.75,0.4833765516234175,0.11455576590286473,0.5,0.5,0.5,0.0,0.5,0.5,86159.0,2.31%,86159.0
tip_amount,float64,3724889,3724889,0,0.00%,4326,0.12%,-88.88,766.0,2.6081422399432572,3.9174047660751574,2.0,0.0,3.71,3.71,-5.5649999999999995,9.274999999999999,203082.0,5.45%,93031.0
tolls_amount,float64,3724889,3724889,0,0.00%,1495,0.04%,-94.5,122.22,0.4983751301045481,2.13173081207796,0.0,0.0,0.0,0.0,0.0,0.0,240709.0,6.46%,234473.0
improvement_surcharge,float64,3724889,3724889,0,0.00%,4,0.00%,-1.0,1.0,0.9479129713663951,0.2654858694460868,1.0,1.0,1.0,0.0,1.0,1.0,155481.0,4.17%,151499.0
total_amount,float64,3724889,3724889,0,0.00%,21228,0.57%,-2560.2,2560.2,29.178525515793893,22.58552976360275,23.05,17.0,33.83,16.83,-8.244999999999997,59.074999999999996,347009.0,9.32%,89417.0
congestion_surcharge,float64,3724889,2636831,1088058,29.21%,3,0.00%,-2.5,2.5,2.1548698039426872,0.9423645281715046,2.5,2.5,2.5,0.0,2.5,2.5,333572.0,8.96%,30448.0
Airport_fee,float64,3724889,2636831,1088058,29.21%,8,0.00%,-1.75,26.75,0.14829382315362646,0.533671377138459,0.0,0.0,0.0,0.0,0.0,0.0,237602.0,6.38%,237602.0
cbd_congestion_fee,float64,3724889,3724889,0,0.00%,3,0.00%,-0.75,0.75,0.5196436726033984,0.35680989495695714,0.75,0.0,0.75,0.75,-1.125,1.875,0.0,0.00%,25197.0
